t,devId,seq,ax,ay,az,gx,gy,gz,mx,my,mz
1687756.406257,3954085724,2874,2.5224609375,-0.400390625,-0.23486328125,26.42822265625,92.22412109375,48.40087890625,0.19746555387973785,0.13555379211902618,-0.3244401216506958
1687756.406257,3954085724,2875,2.59814453125,-0.5087890625,-0.0859375,33.63037109375,283.87451171875,85.99853515625,0.15946784615516663,0.14681795239448547,-0.34411826729774475
1687756.406257,3954085724,2876,2.08154296875,-0.552734375,0.01318359375,108.09326171875,417.48046875,121.15478515625,0.10136812180280685,0.16909024119377136,-0.3488509953022003
1687756.406257,3954085724,2877,1.39306640625,-0.45947265625,0.1962890625,91.30859375,536.865234375,150.87890625,0.01777312345802784,0.1841944307088852,-0.3585655093193054
1687756.406257,3954085724,2878,0.5185546875,-0.59814453125,0.2392578125,87.646484375,603.6376953125,130.06591796875,-0.06582184880971909,0.1964825987815857,-0.346110999584198
1687756.514453,3954085724,2879,-0.220703125,-0.484375,0.158203125,119.32373046875,587.40234375,76.0498046875,-0.1489265412092209,0.20339469611644745,-0.32294559478759766
1687756.514453,3954085724,2880,-0.3056640625,-0.7666015625,0.181640625,166.259765625,545.2880859375,31.1279296875,-0.21364523470401764,0.22592300176620483,-0.2609221041202545
1687756.514453,3954085724,2881,0.03564453125,-0.20703125,0.55908203125,374.8779296875,506.4697265625,42.29736328125,-0.25948765873908997,0.2568993866443634,-0.18868590891361237
1687756.514453,3954085724,2882,0.07373046875,0.5498046875,1.08740234375,379.638671875,545.2880859375,137.51220703125,-0.3038591742515564,0.26406750082969666,-0.10698428750038147
1687756.514453,3954085724,2883,-0.4619140625,0.2265625,1.28076171875,-44.5556640625,628.662109375,272.64404296875,-0.34798556566238403,0.23821115493774414,-0.01606631837785244
1687756.624437,3954085724,2884,-0.78759765625,-0.62060546875,1.36328125,-81.6650390625,650.5126953125,225.52490234375,-0.36857783794403076,0.20595473051071167,0.04122445732355118
1687756.624437,3954085724,2885,-0.55322265625,-0.8017578125,1.48974609375,181.70166015625,573.42529296875,137.14599609375,-0.3592623174190521,0.17625834047794342,0.13288970291614532
1687756.624437,3954085724,2886,-0.33154296875,0.0966796875,1.93994140625,310.791015625,592.1630859375,152.9541015625,-0.3322961628437042,0.14067386090755463,0.21782952547073364
1687756.624437,3954085724,2887,-0.45703125,0.37548828125,2.25146484375,94.78759765625,647.94921875,170.71533203125,-0.2783639430999756,0.09996931999921799,0.291311115026474
1687756.624437,3954085724,2888,-0.93896484375,0.10009765625,2.21484375,-18.98193359375,678.03955078125,158.203125,-0.19918158650398254,0.08486511558294296,0.34411829710006714
1687756.624437,3954085724,2889,-1.80322265625,0.27783203125,2.111328125,56.15234375,668.88427734375,89.41650390625,-0.12073468416929245,0.0782090350985527,0.3864636719226837
1687756.733453,3954085724,2890,-3.20166015625,0.85400390625,2.0830078125,69.2138671875,497.314453125,7.32421875,-0.02635325863957405,0.06361683458089828,0.39493271708488464
1687756.733453,3954085724,2892,-0.71337890625,0.18994140625,2.26123046875,-196.4111328125,29.9072265625,14.7705078125,-0.010173575021326542,0.09587326645851135,0.3899509310722351
1687756.733453,3954085724,2893,-1.228515625,0.24755859375,2.13427734375,-145.263671875,3.35693359375,12.451171875,0.002083740895614028,0.11788955330848694,0.372265487909317
1687756.733453,3954085724,2894,-1.8662109375,0.69482421875,1.9990234375,-119.07958984375,-138.85498046875,24.4140625,-0.020714888349175453,0.12992171943187714,0.3692764341831207
1687756.841419,3954085724,2895,-1.97412109375,1.03564453125,2.015625,-172.8515625,-319.15283203125,67.32177734375,-0.06533156335353851,0.15526606142520905,0.35931283235549927
1687756.841419,3954085724,2896,-1.58544921875,0.943359375,2.1640625,-267.7001953125,-432.43408203125,25.0244140625,-0.12343130260705948,0.1864984631538391,0.3500964641571045
1687756.841419,3954085724,2897,-1.42041015625,0.44384765625,2.212890625,-361.14501953125,-502.99072265625,-59.08203125,-0.17834413051605225,0.23181107640266418,0.28533297777175903
1687756.841419,3954085724,2898,-1.03955078125,0.0361328125,2.05810546875,-289.6728515625,-581.84814453125,-46.9970703125,-0.22761858999729156,0.267395555973053,0.22580039501190186
1687756.841419,3954085724,2899,-1.4189453125,0.17626953125,2.1064453125,-229.3701171875,-641.29638671875,-57.2509765625,-0.2668420374393463,0.28941184282302856,0.14185695350170135
1687756.949187,3954085724,2900,-1.3837890625,-0.0361328125,2.2568359375,-206.54296875,-726.13525390625,-73.2421875,-0.2830216884613037,0.31014809012413025,0.06040441617369652
1687756.949187,3954085724,2901,-1.666015625,0.1298828125,2.7763671875,-138.3056640625,-831.11572265625,-129.638671875,-0.27297070622444153,0.32090023159980774,-0.05168623477220535
1687756.949187,3954085724,2902,-0.82958984375,0.1376953125,3.2685546875,-192.138671875,-975.40283203125,-227.1728515625,-0.2062908411026001,0.3329324424266815,-0.15630415081977844
1687756.949187,3954085724,2903,0.619140625,-0.349609375,2.8447265625,-314.14794921875,-915.4052734375,-288.14697265625,-0.11166425794363022,0.32141226530075073,-0.2290385365486145
1687756.949187,3954085724,2904,0.24609375,-0.55810546875,1.78466796875,-258.6669921875,-714.84375,-290.771484375,-0.025372670963406563,0.31066009402275085,-0.26839479804039
1687756.949187,3954085724,2905,0.76123046875,-0.56982421875,1.33837890625,-199.76806640625,-713.5009765625,-229.43115234375,0.07734374701976776,0.281987726688385,-0.2776111662387848
1687757.058249,3954085724,2906,1.22412109375,-0.15771484375,0.87158203125,-199.52392578125,-591.552734375,-191.83349609375,0.163145050406456,0.25254735350608826,-0.2718820869922638
1687757.058249,3954085724,2907,1.72998046875,-0.19091796875,0.64404296875,-265.625,-478.82080078125,-147.8271484375,0.2335021197795868,0.21440283954143524,-0.2489657700061798
1687757.058249,3954085724,2908,1.8115234375,-0.33154296875,0.38916015625,-256.9580078125,-371.03271484375,-72.998046875,0.27419644594192505,0.17805035412311554,-0.23277489840984344
1687757.058249,3954085724,2909,1.9423828125,-0.1826171875,0.2412109375,-191.83349609375,-287.841796875,-73.974609375,0.3082717955112457,0.15757009387016296,-0.20437860488891602
1687757.058249,3954085724,2910,1.751953125,-0.046875,0.2119140625,-208.984375,-178.89404296875,-46.7529296875,0.32861900329589844,0.1363218128681183,-0.1874404400587082
1687757.167332,3954085724,2911,1.46630859375,-0.16064453125,0.18994140625,-237.73193359375,-133.1787109375,-22.3388671875,0.34430834650993347,0.10892944037914276,-0.19092772901058197
1687757.167332,3954085724,2912,1.5859375,-0.41064453125,0.2138671875,-246.39892578125,-128.41796875,23.193359375,0.35386908054351807,0.09100920706987381,-0.1844513714313507
1687757.167332,3954085724,2913,2.0283203125,-0.68798828125,0.29638671875,-199.70703125,-69.03076171875,40.52734375,0.3641652464866638,0.08051306754350662,-0.17398957908153534
1687757.167332,3954085724,2914,2.4521484375,-0.46240234375,0.4150390625,-108.33740234375,8.30078125,67.19970703125,0.3595074415206909,0.08512112498283386,-0.17747683823108673
1687757.167332,3954085724,2915,2.5458984375,-0.39306640625,0.52783203125,-138.00048828125,120.361328125,127.62451171875,0.34970158338546753,0.08716914802789688,-0.18245863914489746
1687757.275939,3954085724,2917,2.49072265625,-0.78515625,0.63818359375,-75.01220703125,353.3935546875,186.70654296875,0.2955241799354553,0.10585740208625793,-0.25967666506767273
1687757.275939,3954085724,2918,2.103515625,-0.8525390625,0.65869140625,-0.91552734375,447.08251953125,185.791015625,0.24232737720012665,0.12787370383739471,-0.30252018570899963
